path	baseline_line	disposition	destination	evidence
api/src/Modules/ApiKeys/Wallow.ApiKeys.Api/Controllers/ApiKeysController.cs	101	keep		Read all actions and RedisApiKeyService; preserved example JSON unchanged, one-time secret and user/tenant scope; removed unsupported in-flight cancellation guarantee.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Api/Controllers/ApiKeysController.cs	146	rewrite		Read all actions and RedisApiKeyService; preserved example JSON unchanged, one-time secret and user/tenant scope; removed unsupported in-flight cancellation guarantee.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Api/Controllers/ApiKeysController.cs	179	rewrite		Read all actions and RedisApiKeyService; preserved example JSON unchanged, one-time secret and user/tenant scope; removed unsupported in-flight cancellation guarantee.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Application/Interfaces/IApiKeyRepository.cs	12	rewrite		Read ApiKeyRepository GetByIdAsync/UseTenant and ApiKeysDbContext.ApplyTenantQueryFilters; corrected false across-all-tenants lookup claim; caller ownership remains required.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Application/Interfaces/IApiKeyRepository.cs	22	rewrite		Read ApiKeyRepository GetByIdAsync/UseTenant and ApiKeysDbContext.ApplyTenantQueryFilters; corrected false across-all-tenants lookup claim; caller ownership remains required.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Entities/ApiKey.cs	9	rewrite		Read aggregate Create/Revoke, RedisApiKeyService owner assignment and controller scope validation; corrected service-account-only ownership claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Entities/ApiKey.cs	17	rewrite		Read aggregate Create/Revoke, RedisApiKeyService owner assignment and controller scope validation; corrected service-account-only ownership claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Entities/ApiKey.cs	22	keep		Read aggregate Create/Revoke, RedisApiKeyService owner assignment and controller scope validation; corrected service-account-only ownership claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Entities/ApiKey.cs	27	keep		Read aggregate Create/Revoke, RedisApiKeyService owner assignment and controller scope validation; corrected service-account-only ownership claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Entities/ApiKey.cs	34	rewrite		Read aggregate Create/Revoke, RedisApiKeyService owner assignment and controller scope validation; corrected service-account-only ownership claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Entities/ApiKey.cs	39	keep		Read aggregate Create/Revoke, RedisApiKeyService owner assignment and controller scope validation; corrected service-account-only ownership claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Entities/ApiKey.cs	44	remove		Read aggregate Create/Revoke, RedisApiKeyService owner assignment and controller scope validation; corrected service-account-only ownership claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Entities/ApiKey.cs	49	protected		Read aggregate Create/Revoke, RedisApiKeyService owner assignment and controller scope validation; corrected service-account-only ownership claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Entities/ApiKey.cs	50	keep		Read aggregate Create/Revoke, RedisApiKeyService owner assignment and controller scope validation; corrected service-account-only ownership claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Errors/ApiKeysErrors.cs	5	keep		Read catalog entries and controller/middleware/domain use; concise failure distinctions retained.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Errors/ApiKeysErrors.cs	22	keep		Read catalog entries and controller/middleware/domain use; concise failure distinctions retained.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Errors/ApiKeysErrors.cs	26	keep		Read catalog entries and controller/middleware/domain use; concise failure distinctions retained.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Errors/ApiKeysErrors.cs	30	keep		Read catalog entries and controller/middleware/domain use; concise failure distinctions retained.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Errors/ApiKeysErrors.cs	34	keep		Read catalog entries and controller/middleware/domain use; concise failure distinctions retained.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Errors/ApiKeysErrors.cs	38	keep		Read catalog entries and controller/middleware/domain use; concise failure distinctions retained.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Domain/Errors/ApiKeysErrors.cs	42	keep		Read catalog entries and controller/middleware/domain use; concise failure distinctions retained.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Authorization/ApiKeyAuthenticationMiddleware.cs	14	rewrite		Read authentication and error response flow; no-scopes path adds no permissions; retain safe-error/log detail separation.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Authorization/ApiKeyAuthenticationMiddleware.cs	28	remove		Read authentication and error response flow; no-scopes path adds no permissions; retain safe-error/log detail separation.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Authorization/ApiKeyAuthenticationMiddleware.cs	31	remove		Read authentication and error response flow; no-scopes path adds no permissions; retain safe-error/log detail separation.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Authorization/ApiKeyAuthenticationMiddleware.cs	43	remove		Read authentication and error response flow; no-scopes path adds no permissions; retain safe-error/log detail separation.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Authorization/ApiKeyAuthenticationMiddleware.cs	55	remove		Read authentication and error response flow; no-scopes path adds no permissions; retain safe-error/log detail separation.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Authorization/ApiKeyAuthenticationMiddleware.cs	65	rewrite		Read authentication and error response flow; no-scopes path adds no permissions; retain safe-error/log detail separation.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Authorization/ApiKeyAuthenticationMiddleware.cs	77	remove		Read authentication and error response flow; no-scopes path adds no permissions; retain safe-error/log detail separation.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Authorization/ApiKeyAuthenticationMiddleware.cs	86	keep		Read authentication and error response flow; no-scopes path adds no permissions; retain safe-error/log detail separation.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Extensions/ApiKeysInfrastructureExtensions.cs	59	remove		Read persistence and service registrations; labels duplicate registered types.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Extensions/ApiKeysInfrastructureExtensions.cs	62	remove		Read persistence and service registrations; labels duplicate registered types.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Handlers/OrganizationDeletedHandler.cs	9	rewrite		Read handler, repository saves and cache removal; preserve idempotency and explicit target tenant, remove in-flight validation guarantee.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Handlers/OrganizationDeletedHandler.cs	27	rewrite		Read handler, repository saves and cache removal; preserve idempotency and explicit target tenant, remove in-flight validation guarantee.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Handlers/OrganizationDeletedHandler.cs	28	rewrite		Read handler, repository saves and cache removal; preserve idempotency and explicit target tenant, remove in-flight validation guarantee.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Handlers/OrganizationDeletedHandler.cs	29	rewrite		Read handler, repository saves and cache removal; preserve idempotency and explicit target tenant, remove in-flight validation guarantee.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Migrations/20260329204622_InitialCreate.Designer.cs	1	protected		EF-generated marker or inheritdoc; file unchanged.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Migrations/20260329204622_InitialCreate.Designer.cs	18	protected		EF-generated marker or inheritdoc; file unchanged.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Migrations/20260329204622_InitialCreate.cs	8	protected		Inspected all Roslyn comment trivia: generated inheritdoc on migration/Up/Down only; preserve generated documentation.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Migrations/20260329204622_InitialCreate.cs	11	protected		Inspected all Roslyn comment trivia: generated inheritdoc on migration/Up/Down only; preserve generated documentation.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Migrations/20260329204622_InitialCreate.cs	59	protected		Inspected all Roslyn comment trivia: generated inheritdoc on migration/Up/Down only; preserve generated documentation.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Migrations/ApiKeysDbContextModelSnapshot.cs	1	protected		EF-generated marker or inheritdoc; file unchanged.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Modules/ApiKeysModule.cs	12	rewrite		Read module and OrganizationDeletedHandler; corrected false no-Wolverine-handlers claim and retained explicit discovery/schema constraints.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Modules/ApiKeysModule.cs	20	rewrite		Read module and OrganizationDeletedHandler; corrected false no-Wolverine-handlers claim and retained explicit discovery/schema constraints.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/ApiKeyCacheKeys.cs	3	rewrite		Read key format helpers and every RedisApiKeyService/OrganizationDeletedHandler caller; preserve cache entry payload/cardinality meaning.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/ApiKeyCacheKeys.cs	14	keep		Read key format helpers and every RedisApiKeyService/OrganizationDeletedHandler caller; preserve cache entry payload/cardinality meaning.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/ApiKeyCacheKeys.cs	17	keep		Read key format helpers and every RedisApiKeyService/OrganizationDeletedHandler caller; preserve cache entry payload/cardinality meaning.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/ApiKeyCacheKeys.cs	20	keep		Read key format helpers and every RedisApiKeyService/OrganizationDeletedHandler caller; preserve cache entry payload/cardinality meaning.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	14	keep		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	34	keep		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	39	keep		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	41	keep		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	46	keep		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	59	rewrite		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	60	rewrite		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	63	remove		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	82	keep		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	91	keep		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	94	keep		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	140	remove		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	147	keep		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	148	rewrite		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	161	remove		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	173	remove		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	218	remove		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	266	rewrite		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	267	rewrite		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	268	rewrite		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	280	rewrite		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	310	remove		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Infrastructure/Services/RedisApiKeyService.cs	322	keep		Read full service, repository and middleware. Preserve secure key/hash, database-before-cache order, cache addressing and non-awaited usage update; correct false unfiltered lookup claim.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	25	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	55	keep		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	60	keep		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	81	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	169	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	170	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	171	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	183	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	190	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	191	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	199	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	200	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	201	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	223	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	224	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	240	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	241	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	253	keep		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	287	keep		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	303	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	304	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Api/Controllers/OrganizationClientBrandingController.cs	364	rewrite		Read full controller, directory and repository retry contracts. Preserve omitted-field semantics, restricted themes, logo/save order, ownership and race recovery. Corrected own-tenant access overclaim; generated endpoint descriptions require regeneration.
api/src/Modules/Branding/Wallow.Branding.Application/Exceptions/ClientBrandingConcurrentlyDeletedException.cs	5	rewrite		Read SaveWithTypedExceptionsAsync and controller deletion handling; detached stale entries are the recovery contract.
api/src/Modules/Branding/Wallow.Branding.Application/Exceptions/DuplicateClientBrandingException.cs	5	rewrite		Read unique-violation handling; exception filter recognizes SQL unique violation, not a specific index, so avoid narrower guarantee.
api/src/Modules/Branding/Wallow.Branding.Application/Interfaces/IClientBrandingRepository.cs	11	rewrite		Read all repository methods, transaction and exception paths; preserved tenant selection, fresh reads, detach/retry and outbox/handler ownership contracts.
api/src/Modules/Branding/Wallow.Branding.Application/Interfaces/IClientBrandingRepository.cs	20	rewrite		Read all repository methods, transaction and exception paths; preserved tenant selection, fresh reads, detach/retry and outbox/handler ownership contracts.
api/src/Modules/Branding/Wallow.Branding.Application/Interfaces/IClientBrandingRepository.cs	29	rewrite		Read all repository methods, transaction and exception paths; preserved tenant selection, fresh reads, detach/retry and outbox/handler ownership contracts.
api/src/Modules/Branding/Wallow.Branding.Application/Interfaces/IClientBrandingRepository.cs	38	rewrite		Read all repository methods, transaction and exception paths; preserved tenant selection, fresh reads, detach/retry and outbox/handler ownership contracts.
api/src/Modules/Branding/Wallow.Branding.Application/Interfaces/IClientBrandingRepository.cs	48	rewrite		Read all repository methods, transaction and exception paths; preserved tenant selection, fresh reads, detach/retry and outbox/handler ownership contracts.
api/src/Modules/Branding/Wallow.Branding.Domain/Entities/ClientBranding.cs	20	protected		Read entity constructors/mutators; preserve EF materialization comment and suppression.
api/src/Modules/Branding/Wallow.Branding.Domain/Entities/ClientBranding.cs	21	keep		Read entity constructors/mutators; preserve EF materialization comment and suppression.
